,name,locations,reviews
10,Jonathan W.,"Brampton, Canada","Nice clean place. Fairly well decorated, though if you look closely at the finishes, it's not quite as nice as it initially seems. Regardless, it's a good, comfortable spot.Great sound with the speakers and never had an issue with the mics. About the only technical issue that comes up a little is the change of volume between songs - which can be fairly pronounced at times. That said, I've experienced that everywhere and the volume control is fairly simple.Speaking of the controls, the ipad menu is much easier and faster than the standard Karaoke bibles alongside the 50 button remote. The modern system also seems to allow for more updating, so you'll find a great deal of contemporary hits. For old-school music lovers such as myself, there's still plenty of choices and you'll typically find what you're looking for.I haven't ordered from the bar, but there's about 10 choices for beer available at standard rates. I didn't pay attention to the other options - though they are there.From the pricing, there's about 3 different sized rooms to choose from (and pay for accordingly). One of the rooms almost looked like a mini-lounge that could probably handle 20+ people easily if that's ever in your plans."
11,Carmell B.,"Toronto, Canada","Great service! Technical difficulties were promptly addressed. Excellent music selection! Although would benefit from more music videos, haha. Pricey (50-100$ an hour depending on the size of room, small holding 7ppl) but I would definitely return! Thanks Bar+"
12,Bree K.,"Old Toronto, Toronto, Canada","Always a good time, love that there's different room sizes to accommodate any size of group"
13,Brianna H.,"Chicago, IL","This place reminds me of the karaoke spot back at home in Chicago No.18 karaoke except this place had new update playlist. Prepare yourself for the flight of stairs you have to walk up to get to the entrance though. It's quite a workout. You have options of what size room you want and there are different prices depending on the room size per hour. They have a iPad in the room that has all the songs available which you can choose by artist, song , and genre to rock the best song for your performance. They also have a full bar as well and kitchen if you get hungry. I had the butterfly shrimp and they were really good. I think I spent almost $9 for them which isn't too bad. The place is pretty small and they do accept reservations so it's best to have one"
14,Cindy T.,"Brampton, Canada","Had my birthday celebration here and as expected, everything went really well! The large room was much more spacious than I thought - when I told the worker then I will probably have more than 30 people, she reassured me that it will fit everyone comfortably. I had about 35 guests and it fit everyone perfectly! Just like my last visit, the songs are also VERY updated!! There was also 2 TVs in the room which was really convenient since there were plenty of people standing, leaving and coming back in. Bottle service was also really good - the prices are A LOT better than the clubs that I ended up getting 4 bottles right away LOL! My friend even ended up getting another bottle because prices were so good!! I also love that Bar+ allows you to bring your own food - my friends went crazy coming back with McDonalds haha. HIGHLY recommend as always!!"
15,Sana J.,"Mississauga, Canada","This place is so cute!! Location is kinda sketch on top of a Swiss Chalet lmao but the lady who worked there was so sweet!! Literally the best! I think she was blonde if my memory serves me right. She was so cute. The rooms were nice, not bad, nice couches, the karaoke videos were taken off youtube so that was funny. 1 star off just because I wish they had more songs. Like different cultures  too. Maybe some Bollywood songs would be nice. So yeah, that's the only thing.Nice that they had mic covers, and the price for the room was so cheap!!! We were only 3 people and the room could fit up to 5 and it was pretty big for a ""small room"". It was only $30 an hour!!! Amazing overall :)"
16,Lyle G.,"Toronto, Canada",This place is one of the better Karoake bars in Toronto. They have a pretty extensive playlist and their booths are cozy and intimate for a group of friends. They are quite busy though so I would encourage anyone to book in advance. I also have to state that the microphones can create a lot of unnecessary feedback.
17,Maria C.,"Carlstadt, NJ","I haven't a clue how this place has such rave reviews. I have traveled to all major cities around the world and always venture off to karaoke. This was by far my biggest disappointment. I paid double for what I pay in New York City to enjoy an hour and thought to myself ""maybe they have technology or some other extras i haven't seen before"". NOPE. The mics kept cutting in and out, the tablet they use to key in the song selection is delayed and of poor quality, the words displayed on the screen were off beat and there's no way to order service in the room. If you want to order a drink you have to leave the room and order at the bar (taking time away from the expensive hourly rate). 15mins before my session was over there was a huge notification blocking the words on the screen saying ""session will be disabled"". They said it was an error and as I continued during my last song, the same notification came on. Call me dramatic but if I'm in the middle of passionately belting out a song I most likely saved for last because it's my best, couldn't you interrupt me in a less invasive way?"
18,Gordon L.,"Markham, Canada",This place is awesome in comparison to the karaoke box type locations found uptown in Markham and Scarborough.Pricing is a huge difference from uptown locations. Most places require you to pay a flat fee of $150-$200 for a room for 5 people. It's $25 here per hour for up to 5 people... So much cheaperThe rooms are also nice and spacious and feature disco lights if you choose to turn them on. Song selection is one of the largest I have seen and navigating to find songs is highly intuitive. Songs can be selected from a binder and the 6 digit code is keyed in or you can search from the tablet provided and select songs that way as well. Song list is very current and up to date and not just limited to singles that have been released by artists.Definitely coming back here for karaoke. Highly recommended!
19,K B.,"Mississauga, Canada","Disclaimer: I'm adding all my google reviews to yelp - so this one is from last November.Had made a reservation for 3 hrs last night, but we were running a bit late due to some pretty horrendous traffic. Called staff to let them know and they were very cool about it. Service is good, rooms were clean and my friends had a blast. You're also allowed to bring in outside food, so I had a pizza delivered. They also only charged us for 2hrs instead of 3 which I was fully prepared to pay for even though we were an hour late. Good customer service,  would recommend. Thanks for a fun night!"
20,Amber B.,"Thunder Bay, Canada","This place is fun!+ Decent prices+ I actually love the menu, especially the creative shots. The cheesecake shot is my favourite+ Really wide song selection+ All different kinds of rooms you can book of varying sizes+ Staff seem pretty nice, I've been a couple of times and have never had a problem with anyone!+ Button in the room if you need someone to come and help you+ Decent setup.. Comfy seats!- Rooms aren't too soundproof, you can hear others in other rooms- Sometimes the remote is difficult to workI would go back, I had a great time here, more than once!"
21,Christopher Z.,"Toronto, Canada","I've been going to karaoke ever since I was little with my parents in Asia, so these Asian-style karaoke venues were what I always considered to be ""karaoke"" but I realized that here in Canada people often assume karaoke is done in public in front of an audience at a bar or a pub which I actually think is kinda unnerving. Asian karaoke is usually in private rooms with just your friends, and you'll find that with enough encouragement and a bit of alcohol, most people will come out of their shells and join in on the singing. It's a great way to bond. As a karaoke enthusiast this is my go-to karaoke place in downtown Toronto. This is pretty much the only one you'll find near the Eaton Centre as all the other ones are clustered by Chinatown and Koreatown. The pricing system for Chinese and Korean karaokes typically differ in that Chinese ones usually require you to spend a minimum price on drinks and food depending on the size of the room while you essentially get the room for ""free"". Korean karaoke pricing system is usually just by the hour and there's no requirement for you to purchase drinks or food. If you're going to order a lot of drinks and/or food anyway and if you plan on singing for a very long time then you'll likely save money going to Chinatown, but I've always preferred the Korean karaoke system over the Chinese karaoke system as the Korean system typically has a better selection of English songs (and Korean and Japanese songs) while the Chinese karaoke system has a wider selection of Chinese songs.Bar+ is one of the few karaoke establishments aside from Twister at Yonge & Finch that actually utilizes a dual system. They usually default you to the English karaoke system but you can actually switch to the Korean system with a simple switch. You'll have to ask for the remote for the other system, but it's perfect for me because I like to sing a bunch of songs in different languages and while the English system does have a few Asian songs here and there, the Korean system has a much wider selection of Asian songs. It is a good way to balance both and it's probably Bar+'s biggest advantage over the other systems.The service here is actually quite good considering it is a karaoke joint. Usually Asian karaoke places have sort of a meh vibe when it comes to service, but this one is quite friendly while also being efficient. Drinks always come. Food always come. We always get what we ordered and they always come when we call for help. This doesn't always happen at other karaoke places because they tend to be understaffed and honestly sometimes a bit lazy (working in such a loud environment with very drunk people for prolonged periods can be draining I'm sure), but this venue has no such issues.The prices of the drinks and food are fair and what you'd expect to pay at any other bar, and it's even cheaper with their VIP card on weekdays. It's worth getting the VIP card if you plan on going to karaoke on a weekday, as the card gets you 50% off the room rate and a bit of a discount on food and drinks. Not very useful for the weekend, but these days this place has become so popular that if you come here without a reservation on a weekend, you likely won't get a room. They do not take reservations for small rooms but they do get taken fairly quickly.The sound system is average, and the walls are quite thin but these are fairly minor points for me as you can only expect so much in a fairly small venue. Because the rooms tend to be a bit smaller, there is often an audio feedback issue but you can easily solve that by changing your position. Sometimes the songs are just the music videos and not actually karaoke (you can't turn off the original vocals), but this only happens for a few songs and it's a common issue in a lot of other karaoke joints. Overall I'm just appreciative to be able to go a decent karaoke place in walking distance from my house and I'm sure with the lack of space in downtown Toronto, Bar+ will be the place to go for quite some time."
22,Mariko M.,"Toronto, Canada","Great selection of songs; it's really cool that you can line up your favorite songs from a Smart Phone. My phone is a shotty BlackBerry that I've had since uni so I could only watch others in envy as they whipped out their iPhones and chose songs.The bar selection was reasonably priced for Toronto standards; Corona and Bud Lite Lime were both around $7. The room must have been reasonable as well as I paid $10 for the four hours that we were here.Location is convenient. B+K is on the second floor; get off at College Station and it's on the west side of Yonge, south of Gerrard.Bar + Karaoke Lounge = 5 Stars"
23,Anita S.,"Toronto, Canada","Came here for a bday celebration and honestly was quite different than I was expecting it to be. It is located on top of the Swiss Chalet on yonge street, kinda a narrow, short staircase that takes you up to the place. Once up there, it was literally a hallway full of about 16 rooms that can be booked for karaoke parties  In the ""lobby"" area, I guess that's what you'd call it, was the bar where you could order drinks and pay for your room. That is precisely what threw me off! I went in there expecting it to be a large, open area where guests take turns going up ro a mic and sing in front of strangers. However, here, you are allowed to simply sing in front of people you are comfortable with, which I guess is nice.We had the room booked for 2 hours and got to sing through a wide variety of songs~ wasn't expecting such a grand list to choose from, old and new stuff!  So bonus points for that  About half way through,  ordered some drinks....the bartender recommended I get a dissorono sour which was ammmaaaziinngg!!! Gotta try and make that at home haha! It was $6.50. When our time was done, a message appeared on the screen directing us to head to the lobby and pay. It was a nice night however, I am not the type of person who is comfortable singing in front of others,  so I mostly sat and enjoyed watching others sing. I had an okay time, but I could tell everyone else who was singing really enjoyed themselves!  So in conclusion,  if you're interested in actually participating, enjoying a few what I would list as reasonably priced drinks from a bar, and paying a cheap amount to book the room with a bunch of friends - I would recommend this place. It's in a core area of the city too! I personally don't enjoy karaoke, which is why I gave it 3 stars...."
24,Elaine K.,"Markham, Canada","I've been here twice and both times have had a ridiculously good time!They have really amazing rooms to rent out, a pretty good list of songs and a really awesome smartphone app that makes choosing songs a breeze (no more of that annoying typing in codes on remote controls that barely work.) I only with they had a larger variety of new rock/alternative/punk songs.Service was very friendly but for the first hour or so, they only had one person checking in people, taking reservations/phone calls and tending bar. We didn't have to wait too long for anything, but it seemed kind of strange. Drinks were also a bit pricey. $5.50 for a bottle of bud, $6 for bar rail. Not bank breaking, but considering some may need some liquid courage, it can rack up.We have an absolute blast! We've already made plans to return!"
25,Mursall A.,"York, Toronto, Canada",The small room was a great size. Very clean and modern. However the service there is very slow. When I walked in with my friends there was no staff present. Took 7 minutes until someone showed up.
26,Timothy L.,"Concord, Vaughan, Canada",Great karaoke joint with a good selection of really up-to-date music (including Japanese and English songs). The rate is not bad and the service is always really good. Friends broke some shot glasses and even puked the last time I was there and they were really understanding. Overall recommend for your karaoke fix if you're in the downtown core!
27,Chrissy W.,"Cambridge, Canada","First time at a Karaoke place as not a lot of my friends are into that kind thing.I like the private rooms idea as most people are pretty shy.Very good selection of songs however I was very surprised that they didn't have a lot of variety of different artists.A lot of artists had like 1 or 2 songs.and I couldn't even find a couple I searched for.I didn't buy any drinks but I hear they were good from my friends.Overall it was a fun place, but could use some updating on software and song selection."
28,Joanna P.,"Toronto, Canada","Ok went to a karaoke bar before this one which was horrible for customer service so my friend and I decided to try this place out. At first I have to say I was kind if put off when they said they had an hour wait for rooms and you couldn't make a reservation over the phone however we both thought we'd give it a go anyways. Im so glad we changed our mindsInside was nicely decorated and we found we only waited like 20 mins to get a small room . The girl was very good at instructing us on how to operate the machine and they had a ridiculously large amounts of song in English and Korean and Japanese. I mean they had all my favourite Japanese hits from when I was younger. I was shocked. The drinks were good. Pretty much standard pricing you'd find at any bar and the added bonus for this place was you could bring in outside food. The rooms themselves were colourfully lit with disco balls and the couches were not as plush as I would have like but they did not detract from the fun what so ever. If I haven't mentioned already, the customer service was fantastic. Super helpful and informative. We were only planning to stay an hour but ended up staying two hours. As we were leaving we were already planning to come back next week and for my birthday.If you've never been to this place or if you've never tried karaoke before , this is the place you want your first experience at . Enjoy everyone :)"
29,Denise S.,"Toronto, Canada","I've been back here a number of times and discovered 2 more things that make this place the best karaoke bar in the T-dot:- There is a free APP for your smartphone (just search ""bar plus karaoke"") so you can search for songs by title or artist right from your phone, which is way faster than flipping through binders. It also allows you to make a list of ""favourites"", so you don't have to find them again next time. - For $15 you can buy a VIP membership for 1 year that gets you 50% off rooms on Monday-Thursday and on weekends you get discounts at the bar. There are also discounts for your birthday. Worth it if you come here often! I like me a place that caters to the hardcore karaoke addicts:P"
30,H. Q.,"Boston, MA",This place has really great service and decent prices for drinks and karaoke considering the downtown location.  The tech they used for karaoke was extremely up to date and easy to use.  I would come back here if I'm in Toronto again.
31,Eva B.,"Markham, Canada","Location: Located on Yonge St just south of Gerrard (across from XTC, Zanzibar etc). It's on the upper level, the door is right under the SWISS CHALET sign. Parking available just west on Gerrard (about a minute walk around the corner).Quality and Price: Room rates on right on their website, but it works out to be very reasonable.Rooms are clean and modern but the sound quality in the room was poor. You can hear people singing from the rooms next to you.  Music selection was great. Two books listing songs by artist or by title. At the end of both books, there are pages available that tell you what songs were recently added. Bar + also has an app to help you locate songs.One peeve was that songs were listed multiple times without indication if lyrics were provided or if it was just the music video. There should be some sort of key/legend to help set that apart. Two mics were provided and each mic has its own disposable hygienic cover (I loved this), looks like a cute mic shower cap hahaha.Service: Waited an hour for a small room (which is not available for reservation Friday and weekends). There is a bar available for drinks while you wait and priced reasonably. We did not order food so I can't review there. Overall: I really had a great time at Bar Plus and would return in the future. Most of the reviews on Yelp are accurate. I would say Ivan N. 2/23/2014's review was the closest to what I experienced as well."
32,Saniya S.,"Brampton, Canada","Bar plus made my first karaoke experience great! The place was nicely decorated and the staff was super friendly, they let us use a smaller rooms for 4 people max even though it was 5 of us. I was worried they wouldn't have ""my type"" of music but they literally had everything! They had most of the new releases as well which surprised me. We didn't know about downloading the app then so flipping through the book got a bit annoying (they should invest in ipads for their rooms!) But next time, I will definitely download the app.I liked how the rooms were decorated and private! Perfect for parties and those who don't like singing infront of strangers. They weren't sound proof so as you walked past the rooms you could hear everything (not a big deal for me)"
33,Jon C.,"Toronto, Canada",Very friendly staff and a wide selection of songs. I'm the future I'm going to pay for multiple hours though because the charges added up quite a bit when we decided to stay 3 hours instead of on because we were having so much fun
34,Elisa L.,"New York, NY","I came here with some of my coworkers on a Friday night. It was a group of 10. We did not make reservations, but we still got a nice and spacious room.First of all, this place is really classy, very nicely decorated. As the name suggests, it is a lounge. They have a waiting area with very nice couches, and several rooms available. Their music selection is very large. I believe they are Chinese owned, they have a large selection of CJK music, along with a large selection of English music. They have a lot of oldies, and recent music, too. They update their list every month. However, there were a few songs that they surprisingly did not have, but if you're one for music, you'll never run out of songs to sing here.In terms of sound quality - very good. It's adjustable to add/remove echo, add/remove voiceover, etc. Their system is also pretty straight forward to use. Although, when a video is being played, we were left to look at a tiny tiny monitor to skim through songs (most karaoke places use a TV). They provide 2 large song books sorted by song name. You can also go on their website via smartphone to look at their song list. You can search by song or artist name. Lots of people in our group found this method much easier and convenient. You can also use Bar+'s Wifi, although it's not that strong if you have a room farther from the Bar area.They have a full bar. They don't serve drinks to you, you have to go up to buy the drinks yourself (which is smart, the bill is easier to figure out that way). They have a large variety of drinks, decently priced. There are also some standard snack foods (fries, nuggets, chicken wings). They also allow you to bring food from outside, due to their lack of variety. The service was great. There's a service call button on the remote, and the guy at the bar took care of us nicely. We were there for about 4 hours, and enjoyed every bit of it. Bar+ is very well maintained. The washrooms are in amazing condition, the rooms and bar area have a good atmosphere, the service is great, what a perfect place to do karaoke with friends."
35,Thinh P.,"Toronto, Canada","great karaoke place, clean good staff and they have very updated songs 5/5 stars"
36,Janna S.,"North York, Canada",This place is easily one of the most fun destinations downtown!  I second Lauren's appreciation of the cheesy video montages that accompany the videos here; it's really half the fun of singing hits of yeasteryear.I was really impressed by the condition and service of this place. Everything is sparkling clean and the bar selection is great. Service was very friendly and quick. I love that there is space to dance around whilst badly belting out tunes. Keep your friends distracted by your mad moves in cases where your voice fails!I definitely need to come back here! I'm also praying for a Yelp event here....SOON. Hint...hint
37,Juliana H.,"Toronto, Canada","Hells yes!!!  Not only am I down with the place for the beautiful decor (tee hee, but seriously, it beats the hell out of most karaoke places I've been to) BUT for its fantastic six beers and chicken tenders with fries deal.  If you're already well on your way to inebriation, that's a discount way to enjoy more alcohol plus share the greasy splendor of this basket of eats.  And when you cost it out, the food is pretty much free.  Check the menu... you'll see I'm right.  Now down to more specifics.  The people running Bar Plus have always been very accommodating.  If we have issues with a certain room and or the equipment in said room, they move us no problem.  If they aren't too busy, they've automatically given us a better room for no extra money.  When we've booked a couple hours but decided to stay longer, even when they are busy, they have managed to grant our request.  Also, we've never had a problem here with them overcharging when we'd agreed on a price.  I can't say that for every karaoke place.In regards to tune selection, it's pretty solid.  I'll admit that I prefer searching my song selection on line on their website and jotting down the numbers for future use instead of routing through their songbooks and wasting precious singing time.  This is something I would also recommend because not all songbooks are completely updated, and if you really have your heart set on a particular new hit, you may not find it in the books but it well may still be available if you check on line.All in all, I have enjoyed each one of my adventures at Bar Plus and I'd recommend it to any other karaoke fan."
38,Rach N.,"Toronto, Canada","First time doing karaoke and had a blast here! Call a a few days to a week ahead to make a reservation for the right size room. Our room was had a wrap around leather seating which was a bit big for our group of 15 people. It was freezing at first but they adjusted the temperature for us or we warmed up with singing. We had it booked for 2 hrs but ended up staying for 3 hrs! The cost to book the room seemed reasonable but I haven't been to other karaoke places. The waiting area is small but you can order a drink and here's seating for 5-6.  If you're waiting for a lot of people, book a start time for 30 min later so you're not paying for time you're just waiting (& not singing). The food is average and consists of chicken fingers and fries. Good variety of drinks to select from although sometimes you had to go to the main bar to order them. Music selection for English songs was decent and you could download the song directory app (free wifi, follow steps on sheet) as the book was hard to go through. And you need one sober person to learn how to use the karaoke machine if you're a newbie! There was a large screen in the front and a smaller screen/tv in the back of the room and both had the words. You get 2 cordless mics. And they let you dance on the tables if you want to. We all had such a great time and still talk about it!"
39,Cristina Y.,"Scarborough, Toronto, Canada","The worst customer service I've ever experienced. First we called to ask the approximate wait time and the guy on the phone would not tell me for some reason so we had to risk getting there and waiting who knows how long for a room. When we got there the first thing the girl says to me was ""hello? do you have a reservation?"" I replied ""no we don't, your website says you don't take reservations on weekends(for small rooms)"" and she replies in an incredibly rude voice basically screaming at us ""well...I don't know who you are! so you need to come over here!"" What kind of customer service is this?? I find this incredibly unnecessary and just plain rude, ALSO I WOULD LIKE TO ADD I HAD TO TIP THIS GIRL FOR BEING DISRESPECTFUL AND RUDE AND THEY ALSO OVERCHARGED US. I would not recommend going there unless you don't mind paying EXTRA money to be screamed at and treated like shit. :)"
40,Robyn P.,"Brampton, Canada","Bar+ Karaoke Lounge is a wonderful place to get your karaoke on! If you are like me and prefer to sing in front of friends/family instead of strangers, this place is for you. All rooms are spacious and comfortable, song selection and sound quality are top notch. Prices are fair and the staff are great.I have been here three times and all were for birthday events. I called a head of time and asked the staff if they would allow us to bring in our own birthday cake, which they did. Plus- I dropped it off before our schedule time (we were having dinner first then karaoke) and they kept it in the freezer (ice cream cake the first time, regular cake the 2nd & 3rd) and we were allowed to get it half way in between our session (and then they took it back and put it in the freezer when we wanted to continue the remaining time of our session) All in all I would definitely go back here, I had such good experiences, this place is really cool."
41,Jenny T.,"Toronto, Canada","This is a very nice place to do karaoke and get drunk in private rooms with your friends.  I can't believe that no one has reviewed it yet!  You have to pay for a room, which I think is usually around $200. They have hourly rates: bar-plus.com  They have 3 sized rooms: from small to large.The drinks are pretty expensive for a karaoke place but the decor is nicer than all the other places I've seen.  Their selections for songs are huge and they have Chinese, Korean and English... And probably other languages too.This place is great for group events and birthdays!  I've been to many birthdays here."
42,Edwin A.,"Toronto, Canada","5 starsNot a karaoke regular, so don't know what's to be expected.  But must say we had no difficulties getting up and running and having a good time belting out the songs that Fri night.What I liked:great up to date selections of English songs to choose from with accompanying lyrics! clean and spacious rooms with light dimmers very reasonable cost sound system was kicking easy to use song selection systemapp available for queuing in advance No technical problems at all during the whole night!a bar for alcoholic and non/alcohol drinksdurable micsconvenient location just a block North of Yonge + DundasWhat I didn't like:those wine glasses are cheap, one fall and they are done for. they took a long while to come after we called for clean upSpecial thanks to Laura C. for arranging the get together, I had a blast, and also getting us a super deal on the room too!"
43,Nic T.,"Waterloo, Canada","The song selection is great, and very new. I'm surprised they even have songs that are released in the past month! Renovation is modern and clean. The equipment is high tech, especially the request song by iPhone app... Though the service speed is quite slow. Often it takes 5 minutes for the server to come by after requesting for service... Other than that, I have no complaints..."
44,Robin B.,"Union, NJ",I never had their food or drinks but they have a wonderful selection of music and it is always being updated. For 8 ppl we spent 10-11 bucks per person for 2 and a half hrs. The rooms are a little crowded mainly the table is what takes up so much space so beware other than that there is fun to be had!
45,Jeffrey J.,"Kettleby, Canada",I've been to this venue twice and both times my friends and I really enjoyed ourselves. The price is reasonable and the karaoke selection is out of this world. They had songs I never thought they'd have when searching for songs. You can also use the app to search for songs so you don't need to keep flipping through pages in a karaoke book. I would 100% recommend this place. The staff members also let you order in your own food from outside anywhere.
